InputBits	Constant	Area
8	52	3210500.000000
8	53	2466920.000000
8	54	2900420.000000
8	55	1328720.000000
8	56	2505610.000000
8	57	2356140.000000
8	58	2375580.000000
8	59	1706610.000000
8	60	2746420.000000
8	61	1790440.000000
8	62	2223940.000000
8	63	563530.000000
8	64	2604000.000000
8	65	2748590.000000
8	66	2452360.000000
8	67	2185060.000000
8	68	3342700.000000
8	69	2182890.000000
8	70	3030450.000000
8	71	1599920.000000
8	72	2909200.000000
8	73	2596950.000000
8	74	2757560.000000
8	75	1619360.000000
8	76	2777000.000000
8	77	2466920.000000
8	78	2844810.000000
8	79	1287670.000000
8	80	2909200.000000
8	81	2738120.000000
8	82	2343500.000000
8	83	2425870.000000
8	84	3150010.000000
8	85	2586480.000000
8	86	3019980.000000
8	87	1448280.000000
8	88	3169450.000000
8	89	2605920.000000
8	90	3019980.000000
8	91	2295840.000000
8	92	2909200.000000
8	93	2182890.000000
8	94	2343500.000000
8	95	724140.000000
8	96	2928640.000000
8	97	2618560.000000
8	98	2777000.000000
8	99	2445310.000000
8	100	3030450.000000
8	101	2052860.000000
8	102	2900420.000000
8	103	1881780.000000
8	104	3171620.000000
8	105	3039420.000000
8	106	3019980.000000
8	107	1881780.000000
8	108	2928640.000000
8	109	2729340.000000
8	110	2777000.000000
8	111	1157640.000000
8	112	2919670.000000
8	113	2334530.000000
8	114	2353970.000000
8	115	1771000.000000
8	116	2928640.000000
8	117	2596950.000000
8	118	3030450.000000
8	119	1458750.000000
8	120	2495140.000000
8	121	2575340.000000
8	122	2343500.000000
8	123	1619360.000000
8	124	2777000.000000
8	125	2052860.000000
8	126	2353970.000000
8	127	0.000000
8	128	2941280.000000
8	129	2313360.000000
8	130	2789640.000000
8	131	2618560.000000
8	132	3362140.000000
8	133	2161720.000000
8	134	2595220.000000
8	135	1894420.000000
8	136	3342700.000000
8	137	3030450.000000
8	138	3191060.000000
8	139	2052860.000000
8	140	3210500.000000
8	141	2900420.000000
8	142	2789640.000000
8	143	1721170.000000
8	144	2789640.000000
8	145	2618560.000000
8	146	2223940.000000
8	147	2306310.000000
8	148	3030450.000000
8	149	2466920.000000
8	150	2900420.000000
8	151	1328720.000000
8	152	3049890.000000
8	153	2486360.000000
8	154	2900420.000000
8	155	2176280.000000
8	156	2789640.000000
8	157	2140110.000000
8	158	2223940.000000
8	159	1157640.000000
8	160	3362140.000000
8	161	2618560.000000
8	162	3210500.000000
8	163	2033420.000000
8	164	3030450.000000
8	165	2466920.000000
8	166	2900420.000000
8	167	2315280.000000
8	168	3171620.000000
8	169	3472920.000000
8	170	3434040.000000
8	171	1881780.000000
8	172	3362140.000000
8	173	2729340.000000
8	174	3210500.000000
8	175	1571700.000000
8	176	3037500.000000
8	177	2768030.000000
