InputBits	Constant	Area
7	84	2928640.000000
7	85	2868150.000000
7	86	3594460.000000
7	87	1157640.000000
7	88	2909200.000000
7	89	2627340.000000
7	90	3060840.000000
7	91	1903200.000000
7	92	2343500.000000
7	93	1638800.000000
7	94	3039230.000000
7	95	856340.000000
7	96	2627340.000000
7	97	2456260.000000
7	98	2475700.000000
7	99	1751560.000000
7	100	2778980.000000
7	101	2607900.000000
7	102	2486170.000000
7	103	1046860.000000
7	104	2778980.000000
7	105	2627340.000000
7	106	3940520.000000
7	107	1903200.000000
7	108	2093720.000000
7	109	1922640.000000
7	110	1942080.000000
7	111	875780.000000
7	112	1942080.000000
7	113	1771000.000000
7	114	1790440.000000
7	115	1599920.000000
7	116	2324060.000000
7	117	1619360.000000
7	118	2889760.000000
7	119	895220.000000
7	120	3464240.000000
7	121	1638800.000000
7	122	2475700.000000
7	123	1751560.000000
7	124	3312600.000000
7	125	2607900.000000
7	126	3464240.000000
8	0	2712860.000000
8	1	2627340.000000
8	2	3483680.000000
8	3	1922640.000000
8	4	3180400.000000
8	5	2475700.000000
8	6	3332040.000000
8	7	1708780.000000
8	8	2646780.000000
8	9	2475700.000000
8	10	2495140.000000
8	11	2607900.000000
8	12	2798420.000000
8	13	2627340.000000
8	14	2286160.000000
8	15	1046860.000000
8	16	2646780.000000
8	17	2475700.000000
8	18	2969500.000000
8	19	2627340.000000
8	20	3067640.000000
8	21	2324060.000000
8	22	3654760.000000
8	23	1557140.000000
8	24	3190870.000000
8	25	2093720.000000
8	26	4011480.000000
8	27	2413480.000000
8	28	3483680.000000
8	29	1942080.000000
8	30	3289260.000000
8	31	875780.000000
8	32	3142500.000000
8	33	1942080.000000
8	34	3533030.000000
8	35	1771000.000000
8	36	2495140.000000
8	37	1790440.000000
8	38	2646780.000000
8	39	1599920.000000
8	40	2495140.000000
8	41	2324060.000000
8	42	2343500.000000
8	43	1619360.000000
8	44	2646780.000000
8	45	2475700.000000
8	46	3674200.000000
8	47	895220.000000
8	48	2798420.000000
8	49	2627340.000000
8	50	2646780.000000
8	51	1922640.000000
8	52	2666220.000000
8	53	2475700.000000
8	54	2909200.000000
8	55	1751560.000000
8	56	2646780.000000
8	57	2778980.000000
8	58	2798420.000000
8	59	1706610.000000
8	60	4369930.000000
8	61	1790440.000000
8	62	2646780.000000
8	63	704700.000000
8	64	2646780.000000
8	65	2950060.000000
8	66	3332040.000000
